,series_type,series_episodes,my_score,my_status
262,,25,8,Completed
263,,3,7,Completed
264,,12,8,Completed
265,,12,8,Completed
266,,10,8,Completed
267,,2,7,Completed
268,,3,7,Completed
269,,16,0,Watching
270,,25,7,Completed
271,,24,9,Completed
272,,24,8,Completed
273,,13,8,Completed
274,,13,8,Completed
275,,2,7,Completed
276,,12,9,Completed
277,,12,9,Completed
278,,12,9,Completed
279,,12,0,Plan to Watch
280,,13,7,Completed
281,,12,7,Completed
282,,13,10,Completed
283,,24,9,Completed
284,,23,8,Completed
285,,1,5,Completed
286,,1,6,Completed
287,,1,6,Completed
288,,1,6,Completed
289,,4,5,Completed
290,,1,7,Completed
291,,1,7,Completed
292,,1,8,Completed
293,,14,7,Completed
294,,14,7,Completed
295,,12,0,Plan to Watch
296,,12,7,Completed
297,,25,7,Completed
298,,0,0,Plan to Watch
299,,0,0,Plan to Watch
300,,1,7,Completed
301,,1,6,Completed
302,,24,0,Plan to Watch
303,,1,7,Completed
304,,1,5,Completed
305,,11,6,Completed
306,,13,7,Completed
307,,1,6,Completed
308,,25,6,Completed
309,,12,7,Completed
310,,4,10,Completed
311,,12,0,Plan to Watch
312,,1,0,Plan to Watch
313,,13,0,Plan to Watch
314,,99,0,Plan to Watch
315,,11,0,Plan to Watch
316,,24,0,Plan to Watch
317,,13,8,Completed
318,,1,7,Completed
319,,1,7,Completed
320,,13,0,Plan to Watch
321,,11,7,Completed
322,,24,0,Plan to Watch
323,,13,8,Completed
324,,12,7,Completed
325,,1,6,Completed
326,,13,8,Completed
327,,1,6,Completed
328,,12,8,Completed
329,,11,0,Watching
330,,11,9,Completed
331,,1,10,Completed
332,,12,0,Plan to Watch
333,,12,7,Completed
334,,38,0,Plan to Watch
335,,12,0,Plan to Watch
336,,13,0,Plan to Watch
337,,11,9,Completed
338,,6,10,Completed
