,mal_user,series_title,series_type,series_episodes,my_score,my_status
22,HuhBuhDuh,Darwin's Game,TV,11,0,Completed
23,HuhBuhDuh,Death Note,TV,37,0,Completed
24,HuhBuhDuh,Domestic na Kanojo,TV,12,0,Completed
25,HuhBuhDuh,Dr. Stone,TV,24,0,Completed
27,HuhBuhDuh,Eromanga-sensei,TV,12,0,Completed
28,HuhBuhDuh,Fairy Tail,TV,175,0,Completed
29,HuhBuhDuh,Fairy Tail (2014),TV,102,0,Completed
30,HuhBuhDuh,Fairy Tail: Final Series,TV,51,0,Completed
31,HuhBuhDuh,Fullmetal Alchemist,TV,51,0,Completed
32,HuhBuhDuh,Gamers!,TV,12,0,Completed
33,HuhBuhDuh,Golden Time,TV,24,0,Completed
34,HuhBuhDuh,Grisaia no Kajitsu,TV,13,0,Completed
36,HuhBuhDuh,Grisaia no Rakuen,TV,10,0,Completed
39,HuhBuhDuh,H2O: Footprints in the Sand,TV,12,0,Completed
40,HuhBuhDuh,Hajimete no Gal,TV,10,0,Completed
41,HuhBuhDuh,High School DxD,TV,12,0,Completed
42,HuhBuhDuh,High School DxD BorN,TV,12,0,Completed
43,HuhBuhDuh,High School DxD New,TV,12,0,Completed
44,HuhBuhDuh,Highschool of the Dead,TV,12,0,Completed
45,HuhBuhDuh,Isekai wa Smartphone to Tomo ni.,TV,12,0,Completed
46,HuhBuhDuh,K,TV,13,0,Completed
47,HuhBuhDuh,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,TV,12,0,Completed
48,HuhBuhDuh,Kakushigoto (TV),TV,12,0,Completed
49,HuhBuhDuh,"Kanojo, Okarishimasu",TV,12,0,Completed
50,HuhBuhDuh,Karakai Jouzu no Takagi-san,TV,12,0,Completed
53,HuhBuhDuh,Kobayashi-san Chi no Maid Dragon,TV,13,0,Completed
55,HuhBuhDuh,Koi to Uso,TV,12,0,Completed
57,HuhBuhDuh,Mirai Nikki,TV,26,0,Completed
58,HuhBuhDuh,Mondaiji-tachi ga Isekai kara Kuru Sou Desu yo?,TV,10,0,Completed
59,HuhBuhDuh,Monster Musume no Iru Nichijou,TV,12,0,Completed
60,HuhBuhDuh,Nanatsu no Taizai,TV,24,0,Completed
61,HuhBuhDuh,Nanatsu no Taizai: Imashime no Fukkatsu,TV,24,0,Completed
62,HuhBuhDuh,Nanatsu no Taizai: Seisen no Shirushi,TV,4,0,Completed
63,HuhBuhDuh,Naruto,TV,220,0,Completed
64,HuhBuhDuh,Naruto: Shippuuden,TV,500,0,Completed
65,HuhBuhDuh,New Game!,TV,12,0,Completed
66,HuhBuhDuh,New Game!!,TV,12,0,Completed
68,HuhBuhDuh,No Game No Life,TV,12,0,Completed
69,HuhBuhDuh,Noragami,TV,12,0,Completed
70,HuhBuhDuh,Noragami Aragoto,TV,13,0,Completed
72,HuhBuhDuh,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,TV,13,0,Completed
73,HuhBuhDuh,Plastic Memories,TV,13,0,Completed
74,HuhBuhDuh,Princess Connect! Re:Dive,TV,13,0,Completed
75,HuhBuhDuh,Rakudai Kishi no Cavalry,TV,12,0,Completed
76,HuhBuhDuh,Re:Zero kara Hajimeru Isekai Seikatsu,TV,25,0,Completed
77,HuhBuhDuh,Renai Boukun,TV,12,0,Completed
79,HuhBuhDuh,Rokudenashi Majutsu Koushi to Akashic Records,TV,12,0,Completed
81,HuhBuhDuh,School Days,TV,12,0,Completed
83,HuhBuhDuh,Seiren,TV,12,0,Completed
84,HuhBuhDuh,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,0,Completed
87,HuhBuhDuh,Sekirei,TV,12,0,Completed
88,HuhBuhDuh,Sekirei: Pure Engagement,TV,13,0,Completed
89,HuhBuhDuh,Shingeki no Kyojin,TV,25,0,Completed
91,HuhBuhDuh,Shingeki no Kyojin Season 2,TV,12,0,Completed
92,HuhBuhDuh,Shingeki no Kyojin Season 3,TV,12,0,Completed
93,HuhBuhDuh,Shingeki no Kyojin Season 3 Part 2,TV,10,0,Completed
97,HuhBuhDuh,Shingeki! Kyojin Chuugakkou,TV,12,0,Completed
98,HuhBuhDuh,Shinmai Maou no Testament,TV,12,0,Completed
99,HuhBuhDuh,Shinmai Maou no Testament Burst,TV,10,0,Completed
103,HuhBuhDuh,Shokugeki no Souma,TV,24,0,Completed
104,HuhBuhDuh,Shokugeki no Souma: Ni no Sara,TV,13,0,Completed
106,HuhBuhDuh,Shokugeki no Souma: San no Sara,TV,12,0,Completed
107,HuhBuhDuh,Shokugeki no Souma: San no Sara - Tootsuki Ressha-hen,TV,12,0,Completed
108,HuhBuhDuh,Steins;Gate,TV,24,0,Completed
110,HuhBuhDuh,Sword Art Online,TV,25,0,Completed
111,HuhBuhDuh,Sword Art Online II,TV,24,0,Completed
116,HuhBuhDuh,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,0,Completed
117,HuhBuhDuh,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Kan,TV,12,0,Completed
118,HuhBuhDuh,Yahari Ore no Seishun Love Comedy wa Machigatteiru. Zoku,TV,13,0,Completed
119,HuhBuhDuh,Yakusoku no Neverland,TV,12,0,Completed
120,HuhBuhDuh,Youkoso Jitsuryoku Shijou Shugi no Kyoushitsu e (TV),TV,12,0,Completed
121,HuhBuhDuh,Zero no Tsukaima,TV,13,0,Completed
122,HuhBuhDuh,Zero no Tsukaima F,TV,12,0,Completed
123,HuhBuhDuh,Zero no Tsukaima: Futatsuki no Kishi,TV,12,0,Completed
124,HuhBuhDuh,Zero no Tsukaima: Princesses no Rondo,TV,12,0,Completed
4,HuhBuhDuh,Angel Beats!,TV,13,0,Dropped
5,HuhBuhDuh,Ansatsu Kyoushitsu,TV,22,0,Dropped
18,HuhBuhDuh,Campione!: Matsurowanu Kamigami to Kamigoroshi no Maou,TV,13,0,Dropped
26,HuhBuhDuh,Dumbbell Nan Kilo Moteru?,TV,12,0,Dropped
56,HuhBuhDuh,Made in Abyss,TV,13,0,Dropped
71,HuhBuhDuh,One Punch Man,TV,12,0,Dropped
82,HuhBuhDuh,Seiken Tsukai no World Break,TV,12,0,Dropped
109,HuhBuhDuh,Steins;Gate 0,TV,23,0,Dropped
112,HuhBuhDuh,Tate no Yuusha no Nariagari,TV,25,0,Dropped
113,HuhBuhDuh,Tokyo Ghoul,TV,12,0,Dropped
51,HuhBuhDuh,Kawaikereba Hentai demo Suki ni Natte Kuremasu ka?,TV,12,0,Plan to Watch
80,HuhBuhDuh,Saenai Heroine no Sodatekata,TV,12,0,Plan to Watch
16,HuhBuhDuh,Boruto: Naruto Next Generations,TV,0,0,Watching
114,HuhBuhDuh,Tonikaku Kawaii,TV,12,0,Watching
115,HuhBuhDuh,Watashi ni Tenshi ga Maiorita!,TV,12,0,Watching
111,Tijmuffin,Akira,MOVIE,1,0,Plan to Watch
112,Tijmuffin,REDLINE,MOVIE,1,0,Plan to Watch
116,Tijmuffin,Mononoke-hime,MOVIE,1,0,Plan to Watch
122,Tijmuffin,Shin Seiki Evangelion: THE END OF EVANGELION,MOVIE,1,0,Plan to Watch
123,Tijmuffin,Kimi no Na wa.,MOVIE,1,0,Plan to Watch
124,Tijmuffin,Koe no Katachi,MOVIE,1,0,Plan to Watch
126,Tijmuffin,Stranger: Mukoh Hadan,MOVIE,1,0,Plan to Watch
108,Tijmuffin,World Trigger,TV,73,0,Dropped
21,Tijmuffin,Pocket Monsters Advanced Generation,TV,192,0,On-Hold
71,Tijmuffin,Pocket Monsters Advanced Generation,TV,192,0,On-Hold
101,Tijmuffin,Kenpuu Denki Berserk,TV,25,0,On-Hold
107,Tijmuffin,Initial D,TV,26,0,On-Hold
109,Tijmuffin,Yakusoku no Neverland,TV,12,0,Plan to Watch
110,Tijmuffin,Death Note,TV,37,0,Plan to Watch
113,Tijmuffin,Mob Psycho 100,TV,12,0,Plan to Watch
114,Tijmuffin,Mob Psycho 100 II,TV,13,0,Plan to Watch
115,Tijmuffin,Hunter x Hunter (2011),TV,148,0,Plan to Watch
117,Tijmuffin,Steins;Gate,TV,24,0,Plan to Watch
118,Tijmuffin,Cowboy Bebop,TV,26,0,Plan to Watch
119,Tijmuffin,Samurai Champloo,TV,26,0,Plan to Watch
120,Tijmuffin,Violet Evergarden,TV,13,0,Plan to Watch
121,Tijmuffin,Shin Seiki Evangelion,TV,26,0,Plan to Watch
127,Tijmuffin,Ping Pong THE ANIMATION,TV,11,0,Plan to Watch
128,Tijmuffin,Haikyuu!!,TV,25,0,Plan to Watch
129,Tijmuffin,Gakkou no Kaidan,TV,19,0,Watching
6,Tijmuffin,Shingeki no Kyojin 3 Part 2,TV,10,10,Completed
56,Tijmuffin,Shingeki no Kyojin 3 Part 2,TV,10,10,Completed
0,Tijmuffin,Shingeki no Kyojin: The Final Season,TV,16,10,Watching
50,Tijmuffin,Shingeki no Kyojin: The Final Season,TV,16,10,Watching
16,Tijmuffin,Naruto the Movie: Dai Katsugeki! Yuki Hime Shinobu Houjou Dattebayo!!,MOVIE,1,6,Completed
29,Tijmuffin,Digimon Adventure tri. 5: Kyousei,MOVIE,1,6,Completed
30,Tijmuffin,Digimon Adventure tri. 6: Bokura no Mirai,MOVIE,1,6,Completed
66,Tijmuffin,Naruto the Movie: Dai Katsugeki! Yuki Hime Shinobu Houjou Dattebayo!!,MOVIE,1,6,Completed
79,Tijmuffin,Digimon Adventure tri. 5: Kyousei,MOVIE,1,6,Completed
80,Tijmuffin,Digimon Adventure tri. 6: Bokura no Mirai,MOVIE,1,6,Completed
125,Tijmuffin,First Squad: The Moment of Truth,MOVIE,1,6,Completed
32,Tijmuffin,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,12,6,Completed
49,Tijmuffin,Pocket Monsters Best Wishes!,TV,84,6,Completed
82,Tijmuffin,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri",TV,12,6,Completed
99,Tijmuffin,Pocket Monsters Best Wishes!,TV,84,6,Completed
104,Tijmuffin,Metal Fight Beyblade,TV,51,6,Completed
105,Tijmuffin,Metal Fight Beyblade: Baku,TV,51,6,Completed
106,Tijmuffin,Metal Fight Beyblade 4D,TV,52,6,Completed
13,Tijmuffin,Hagane no Renkinjutsushi: Shamballa wo Yuku Mono,MOVIE,1,7,Completed
24,Tijmuffin,Digimon Adventure 02: Diablomon no Gyakushuu,MOVIE,1,7,Completed
25,Tijmuffin,Digimon Adventure tri. 1: Saikai,MOVIE,1,7,Completed
26,Tijmuffin,Digimon Adventure tri. 2: Ketsui,MOVIE,1,7,Completed
28,Tijmuffin,Digimon Adventure tri. 4: Soushitsu,MOVIE,1,7,Completed
43,Tijmuffin,Boku no Hero Academia the Movie: Futari no Hero,MOVIE,1,7,Completed
63,Tijmuffin,Hagane no Renkinjutsushi: Shamballa wo Yuku Mono,MOVIE,1,7,Completed
74,Tijmuffin,Digimon Adventure 02: Diablomon no Gyakushuu,MOVIE,1,7,Completed
75,Tijmuffin,Digimon Adventure tri. 1: Saikai,MOVIE,1,7,Completed
76,Tijmuffin,Digimon Adventure tri. 2: Ketsui,MOVIE,1,7,Completed
78,Tijmuffin,Digimon Adventure tri. 4: Soushitsu,MOVIE,1,7,Completed
93,Tijmuffin,Boku no Hero Academia the Movie: Futari no Hero,MOVIE,1,7,Completed
15,Tijmuffin,Naruto,TV,220,7,Completed
22,Tijmuffin,Digimon Adventure,TV,54,7,Completed
23,Tijmuffin,Digimon Adventure 02,TV,50,7,Completed
33,Tijmuffin,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2",TV,12,7,Completed
36,Tijmuffin,One Punch Man 2,TV,12,7,Completed
37,Tijmuffin,Digimon Tamers,TV,51,7,Completed
42,Tijmuffin,Boku no Hero Academia 4,TV,25,7,Completed
65,Tijmuffin,Naruto,TV,220,7,Completed
72,Tijmuffin,Digimon Adventure,TV,54,7,Completed
73,Tijmuffin,Digimon Adventure 02,TV,50,7,Completed
83,Tijmuffin,"Gate: Jieitai Kanochi nite, Kaku Tatakaeri 2",TV,12,7,Completed
86,Tijmuffin,One Punch Man 2,TV,12,7,Completed
87,Tijmuffin,Digimon Tamers,TV,51,7,Completed
92,Tijmuffin,Boku no Hero Academia 4,TV,25,7,Completed
102,Tijmuffin,Bakugan Battle Brawlers,TV,52,7,Completed
103,Tijmuffin,Bakugan Battle Brawlers: New Vestroia,TV,52,7,Completed
20,Tijmuffin,Pocket Monsters,TV,276,7,On-Hold
70,Tijmuffin,Pocket Monsters,TV,276,7,On-Hold
100,Tijmuffin,Pocket Monsters XY,TV,94,7,On-Hold
18,Tijmuffin,THE LAST: NARUTO THE MOVIE,MOVIE,1,8,Completed
27,Tijmuffin,Digimon Adventure tri. 3: Kokuhaku,MOVIE,1,8,Completed
31,Tijmuffin,Digimon Adventure: Last Evolution Kizuna,MOVIE,1,8,Completed
68,Tijmuffin,THE LAST: NARUTO THE MOVIE,MOVIE,1,8,Completed
77,Tijmuffin,Digimon Adventure tri. 3: Kokuhaku,MOVIE,1,8,Completed
81,Tijmuffin,Digimon Adventure: Last Evolution Kizuna,MOVIE,1,8,Completed
2,Tijmuffin,Shingeki no Kyojin Gaiden: Kuinaki Sentaku,OVA,2,8,Completed
5,Tijmuffin,Shingeki no Kyojin: Lost Girls,OVA,3,8,Completed
35,Tijmuffin,One Punch Man OVA,OVA,6,8,Completed
52,Tijmuffin,Shingeki no Kyojin Gaiden: Kuinaki Sentaku,OVA,2,8,Completed
55,Tijmuffin,Shingeki no Kyojin: Lost Girls,OVA,3,8,Completed
85,Tijmuffin,One Punch Man OVA,OVA,6,8,Completed
7,Tijmuffin,JoJo no Kimyou na Bouken,TV,26,8,Completed
8,Tijmuffin,JoJo no Kimyou na Bouken: Stardust Crusaders,TV,24,8,Completed
9,Tijmuffin,JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen,TV,24,8,Completed
10,Tijmuffin,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,8,Completed
11,Tijmuffin,JoJo no Kimyou na Bouken: Ougon no Kaze,TV,39,8,Completed
12,Tijmuffin,Hagane no Renkinjutsushi,TV,51,8,Completed
17,Tijmuffin,Naruto: Shippuuden,TV,500,8,Completed
19,Tijmuffin,Boku dake ga Inai Machi,TV,12,8,Completed
38,Tijmuffin,Kiseijuu: Sei no Kakuritsu,TV,24,8,Completed
39,Tijmuffin,Boku no Hero Academia,TV,13,8,Completed
40,Tijmuffin,Boku no Hero Academia 2,TV,25,8,Completed
41,Tijmuffin,Boku no Hero Academia 3,TV,25,8,Completed
44,Tijmuffin,Shinsekai yori,TV,25,8,Completed
57,Tijmuffin,JoJo no Kimyou na Bouken,TV,26,8,Completed
58,Tijmuffin,JoJo no Kimyou na Bouken: Stardust Crusaders,TV,24,8,Completed
59,Tijmuffin,JoJo no Kimyou na Bouken: Stardust Crusaders - Egypt-hen,TV,24,8,Completed
60,Tijmuffin,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,TV,39,8,Completed
61,Tijmuffin,JoJo no Kimyou na Bouken: Ougon no Kaze,TV,39,8,Completed
62,Tijmuffin,Hagane no Renkinjutsushi,TV,51,8,Completed
67,Tijmuffin,Naruto: Shippuuden,TV,500,8,Completed
69,Tijmuffin,Boku dake ga Inai Machi,TV,12,8,Completed
88,Tijmuffin,Kiseijuu: Sei no Kakuritsu,TV,24,8,Completed
89,Tijmuffin,Boku no Hero Academia,TV,13,8,Completed
90,Tijmuffin,Boku no Hero Academia 2,TV,25,8,Completed
91,Tijmuffin,Boku no Hero Academia 3,TV,25,8,Completed
94,Tijmuffin,Shinsekai yori,TV,25,8,Completed
46,Tijmuffin,Dragon Ball,TV,153,8,On-Hold
47,Tijmuffin,Dragon Ball Kai,TV,97,8,On-Hold
96,Tijmuffin,Dragon Ball,TV,153,8,On-Hold
97,Tijmuffin,Dragon Ball Kai,TV,97,8,On-Hold
45,Tijmuffin,Sen to Chihiro no Kamikakushi,MOVIE,1,9,Completed
48,Tijmuffin,Dragon Ball Super: Broly,MOVIE,1,9,Completed
95,Tijmuffin,Sen to Chihiro no Kamikakushi,MOVIE,1,9,Completed
98,Tijmuffin,Dragon Ball Super: Broly,MOVIE,1,9,Completed
1,Tijmuffin,Shingeki no Kyojin,TV,25,9,Completed
3,Tijmuffin,Shingeki no Kyojin 2,TV,12,9,Completed
4,Tijmuffin,Shingeki no Kyojin 3,TV,12,9,Completed
14,Tijmuffin,Hagane no Renkinjutsushi: Fullmetal Alchemist,TV,64,9,Completed
34,Tijmuffin,One Punch Man,TV,12,9,Completed
51,Tijmuffin,Shingeki no Kyojin,TV,25,9,Completed
53,Tijmuffin,Shingeki no Kyojin 2,TV,12,9,Completed
54,Tijmuffin,Shingeki no Kyojin 3,TV,12,9,Completed
64,Tijmuffin,Hagane no Renkinjutsushi: Fullmetal Alchemist,TV,64,9,Completed
84,Tijmuffin,One Punch Man,TV,12,9,Completed
27,Tristatic,Boruto: Naruto the Movie,Movie,1,0,Completed
58,Tristatic,Dragon Ball Z Movie 14: Kami to Kami,Movie,1,0,Completed
86,Tristatic,Hotaru no Haka,Movie,1,0,Completed
163,Tristatic,No Game No Life: Zero,Movie,1,0,Completed
179,Tristatic,Pokemon Movie 01: Mewtwo no Gyakushuu,Movie,1,0,Completed
180,Tristatic,Pokemon Movie 02: Maboroshi no Pokemon Lugia Bakutan,Movie,1,0,Completed
178,Tristatic,Pokemon Generations,ONA,18,0,Completed
78,Tristatic,Grisaia no Meikyuu: Caprice no Mayu 0,Special,1,0,Plan to Watch
8,Tristatic,Amagi Brilliant Park,TV,13,0,Completed
9,Tristatic,Angel Beats!,TV,13,0,Completed
18,Tristatic,Boku dake ga Inai Machi,TV,12,0,Completed
30,Tristatic,Captain Tsubasa: Road to 2002,TV,52,0,Completed
37,Tristatic,Chuunibyou demo Koi ga Shitai!,TV,12,0,Completed
67,Tristatic,Fruits Basket 1st Season,TV,25,0,Completed
73,Tristatic,Gintama°,TV,51,0,Completed
74,Tristatic,Girls & Panzer,TV,12,0,Completed
77,Tristatic,Grisaia no Kajitsu,TV,13,0,Completed
111,Tristatic,Kill la Kill,TV,24,0,Completed
145,Tristatic,Metal Fight Beyblade,TV,51,0,Completed
146,Tristatic,Metal Fight Beyblade: Baku,TV,51,0,Completed
176,Tristatic,Pokemon,TV,276,0,Completed
177,Tristatic,Pokemon Advanced Generation,TV,192,0,Completed
181,Tristatic,Pokemon XY,TV,93,0,Completed
219,Tristatic,Special A,TV,24,0,Completed
226,Tristatic,Sword Art Online Alternative: Gun Gale Online,TV,12,0,Completed
243,Tristatic,Tokyo Ravens,TV,24,0,Completed
12,Tristatic,Another,TV,12,0,Plan to Watch
16,Tristatic,Beelzebub,TV,60,0,Plan to Watch
23,Tristatic,Boku no Hero Academia 5th Season,TV,0,0,Plan to Watch
93,Tristatic,Itai no wa Iya nano de Bougyoryoku ni Kyokufuri Shitai to Omoimasu.,TV,12,0,Plan to Watch
106,Tristatic,Kami nomi zo Shiru Sekai,TV,12,0,Plan to Watch
138,Tristatic,Magi: The Labyrinth of Magic,TV,25,0,Plan to Watch
149,Tristatic,Mob Psycho 100,TV,12,0,Plan to Watch
3,Tristatic,5-toubun no Hanayome ∬,TV,12,0,Watching
51,Tristatic,Dr. Stone: Stone Wars,TV,11,0,Watching
63,Tristatic,Fate/stay night,TV,24,0,Watching
85,Tristatic,Horimiya,TV,13,0,Watching
96,Tristatic,Jaku-Chara Tomozaki-kun,TV,12,0,Watching
102,Tristatic,Kaifuku Jutsushi no Yarinaoshi,TV,12,0,Watching
136,Tristatic,Log Horizon: Entaku Houkai,TV,12,0,Watching
140,Tristatic,Mahou Shoujo Madoka★Magica,TV,12,0,Watching
186,Tristatic,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,TV,12,0,Watching
210,Tristatic,Shingeki no Kyojin: The Final Season,TV,16,0,Watching
236,Tristatic,Tensei shitara Slime Datta Ken 2nd Season,TV,12,0,Watching
250,Tristatic,Wonder Egg Priority,TV,12,0,Watching
257,Tristatic,Yakusoku no Neverland 2nd Season,TV,11,0,Watching
264,Tristatic,Yuru Camp△ Season 2,TV,13,0,Watching
234,Tristatic,Tenki no Ko,Movie,1,10,Completed
55,Tristatic,Dragon Ball Super,TV,131,10,Completed
201,Tristatic,Seishun Buta Yarou wa Bunny Girl Senpai no Yume wo Minai,TV,13,10,Completed
220,Tristatic,Steins;Gate,TV,24,10,Completed
253,Tristatic,Yahari Ore no Seishun Love Comedy wa Machigatteiru.,TV,13,10,Completed
47,Tristatic,Dive!!,TV,12,4,Completed
159,Tristatic,Net-juu no Susume,ONA,10,5,Completed
17,Tristatic,Blend S,TV,12,5,Completed
40,Tristatic,Classroom☆Crisis,TV,13,5,Completed
53,Tristatic,Dragon Ball GT,TV,64,5,Completed
71,Tristatic,Gamers!,TV,12,5,Completed
91,Tristatic,Isekai wa Smartphone to Tomo ni.,TV,12,5,Completed
110,Tristatic,Kenja no Mago,TV,12,5,Completed
183,Tristatic,Rakudai Kishi no Cavalry,TV,12,5,Completed
191,Tristatic,Saenai Heroine no Sodatekata,TV,12,5,Completed
199,Tristatic,School Rumble,TV,26,5,Completed
200,Tristatic,Seiren,TV,12,5,Completed
28,Tristatic,Byousoku 5 Centimeter,Movie,3,6,Completed
87,Tristatic,Hotarubi no Mori e,Movie,1,6,Completed
150,Tristatic,Momokuri,ONA,26,6,Completed
1,Tristatic,3D Kanojo: Real Girl 2nd Season,TV,12,6,Completed
4,Tristatic,91 Days,TV,12,6,Completed
5,Tristatic,Accel World,TV,24,6,Completed
25,Tristatic,Boku wa Tomodachi ga Sukunai Next,TV,12,6,Completed
33,Tristatic,ChäoS;Child,TV,12,6,Completed
34,Tristatic,ChäoS;HEAd,TV,12,6,Completed
38,Tristatic,Citrus,TV,12,6,Completed
45,Tristatic,Death Note,TV,37,6,Completed
48,Tristatic,Domestic na Kanojo,TV,12,6,Completed
54,Tristatic,Dragon Ball Kai,TV,97,6,Completed
59,Tristatic,Eromanga-sensei,TV,12,6,Completed
75,Tristatic,Golden Time,TV,24,6,Completed
79,Tristatic,Guilty Crown,TV,22,6,Completed
123,Tristatic,Konbini Kareshi,TV,12,6,Completed
132,Tristatic,Listeners,TV,12,6,Completed
144,Tristatic,Masamune-kun no Revenge,TV,12,6,Completed
156,Tristatic,Nande Koko ni Sensei ga!?,TV,12,6,Completed
160,Tristatic,Nijiiro Days,TV,24,6,Completed
169,Tristatic,Ore Monogatari!!,TV,24,6,Completed
171,Tristatic,Ouran Koukou Host Club,TV,26,6,Completed
189,Tristatic,Renai Boukun,TV,12,6,Completed
192,Tristatic,Saenai Heroine no Sodatekata ♭,TV,11,6,Completed
196,Tristatic,Sakurada Reset,TV,24,6,Completed
212,Tristatic,Shokugeki no Souma: Gou no Sara,TV,13,6,Completed
240,Tristatic,Tokyo Ghoul:re,TV,12,6,Completed
241,Tristatic,Tokyo Ghoul:re 2nd Season,TV,12,6,Completed
251,Tristatic,Working!!!,TV,13,6,Completed
42,Tristatic,Dareka no Manazashi,Movie,1,7,Completed
56,Tristatic,Dragon Ball Super Movie: Broly,Movie,1,7,Completed
127,Tristatic,Kotonoha no Niwa,Movie,1,7,Completed
194,Tristatic,Sakasama no Patema,Movie,1,7,Completed
222,Tristatic,Steins;Gate Movie: Fuka Ryouiki no Déjà vu,Movie,1,7,Completed
139,Tristatic,Magic Kaito,Special,12,7,Completed
188,Tristatic,ReLIFE: Kanketsu-hen,Special,4,7,Completed
0,Tristatic,3D Kanojo: Real Girl,TV,12,7,Completed
2,Tristatic,5-toubun no Hanayome,TV,12,7,Completed
6,Tristatic,Aho Girl,TV,12,7,Completed
7,Tristatic,Akkun to Kanojo,TV,25,7,Completed
13,Tristatic,Ao Haru Ride,TV,12,7,Completed
14,Tristatic,Arifureta Shokugyou de Sekai Saikyou,TV,13,7,Completed
24,Tristatic,Boku wa Tomodachi ga Sukunai,TV,12,7,Completed
36,Tristatic,Chobits,TV,26,7,Completed
39,Tristatic,Clannad,TV,23,7,Completed
44,Tristatic,Darwin's Game,TV,11,7,Completed
46,Tristatic,Death Parade,TV,12,7,Completed
49,Tristatic,Dorohedoro,TV,12,7,Completed
52,Tristatic,Dragon Ball,TV,153,7,Completed
66,Tristatic,Fruits Basket,TV,26,7,Completed
68,Tristatic,Fullmetal Alchemist,TV,51,7,Completed
72,Tristatic,Gintama,TV,201,7,Completed
89,Tristatic,Isekai Quartet,TV,12,7,Completed
90,Tristatic,Isekai Shokudou,TV,12,7,Completed
94,Tristatic,Itazura na Kiss,TV,25,7,Completed
95,Tristatic,Itsudatte Bokura no Koi wa 10 cm Datta.,TV,6,7,Completed
97,Tristatic,Joker Game,TV,12,7,Completed
98,Tristatic,Just Because!,TV,12,7,Completed
101,Tristatic,Kaichou wa Maid-sama!,TV,26,7,Completed
104,Tristatic,Kakegurui××,TV,12,7,Completed
105,Tristatic,Kakushigoto (TV),TV,12,7,Completed
108,Tristatic,Karakai Jouzu no Takagi-san,TV,12,7,Completed
109,Tristatic,Karakai Jouzu no Takagi-san 2,TV,12,7,Completed
113,Tristatic,Kimi ni Todoke,TV,25,7,Completed
119,Tristatic,Kishuku Gakkou no Juliet,TV,12,7,Completed
122,Tristatic,Kokoro Connect,TV,13,7,Completed
124,Tristatic,Kono Bijutsubu ni wa Mondai ga Aru!,TV,12,7,Completed
129,Tristatic,Kuroko no Basket,TV,25,7,Completed
130,Tristatic,Kuroko no Basket 2nd Season,TV,25,7,Completed
131,Tristatic,Kuroko no Basket 3rd Season,TV,25,7,Completed
137,Tristatic,Lovely★Complex,TV,24,7,Completed
141,Tristatic,Mahouka Koukou no Rettousei,TV,26,7,Completed
142,Tristatic,Mahouka Koukou no Rettousei: Raihousha-hen,TV,13,7,Completed
147,Tristatic,Mirai Nikki,TV,26,7,Completed
154,Tristatic,Nanatsu no Taizai,TV,24,7,Completed
155,Tristatic,Nanatsu no Taizai: Kamigami no Gekirin,TV,24,7,Completed
157,Tristatic,Naruto,TV,220,7,Completed
164,Tristatic,Noragami,TV,12,7,Completed
168,Tristatic,Orange,TV,13,7,Completed
170,Tristatic,Ore no Kanojo to Osananajimi ga Shuraba Sugiru,TV,13,7,Completed
173,Tristatic,Overlord II,TV,13,7,Completed
174,Tristatic,Overlord III,TV,13,7,Completed
175,Tristatic,Plastic Memories,TV,13,7,Completed
182,Tristatic,Psycho-Pass,TV,22,7,Completed
193,Tristatic,Sakamoto Desu ga?,TV,12,7,Completed
205,Tristatic,Shinchou Yuusha: Kono Yuusha ga Ore Tueee Kuse ni Shinchou Sugiru,TV,12,7,Completed
217,Tristatic,Skip Beat!,TV,25,7,Completed
224,Tristatic,Suzumiya Haruhi no Yuuutsu (2009),TV,14,7,Completed
225,Tristatic,Sword Art Online,TV,25,7,Completed
227,Tristatic,Sword Art Online II,TV,24,7,Completed
231,Tristatic,Sword Art Online: Alicization - War of Underworld 2nd Season,TV,11,7,Completed
238,Tristatic,Tokyo Ghoul,TV,12,7,Completed
239,Tristatic,Tokyo Ghoul √A,TV,12,7,Completed
247,Tristatic,Tsuki ga Kirei,TV,12,7,Completed
248,Tristatic,Tsurezure Children,TV,12,7,Completed
252,Tristatic,Wotaku ni Koi wa Muzukashii,TV,11,7,Completed
258,Tristatic,Yamada-kun to 7-nin no Majo (TV),TV,12,7,Completed
259,Tristatic,Yami Shibai,TV,13,7,Completed
260,Tristatic,Yami Shibai 2,TV,13,7,Completed
261,Tristatic,Yesterday wo Utatte,TV,12,7,Completed
263,Tristatic,Yuru Camp△,TV,12,7,Completed
26,Tristatic,Boruto: Naruto Next Generations,TV,0,7,Watching
